"Cycle","fips","County","State","From_Women","Dem_Fem_Pct","Repub_Fem_Pct"
"1992","35043","SANDOVAL","New Mexico",28233,48.7702117969,84.9884526559
"1992","18169","WABASH","Indiana",34688,21.9512195122,68.4184288148
"1992","46039","DEUEL","South Dakota",36250,32.2580645161,58.0736543909
"1992","51015","AUGUSTA","Virginia",34600,0,62.1463852717
"1992","55117","SHEBOYGAN","Wisconsin",58709,65.5113944655,61.4716015497
"1992","04025","YAVAPAI","Arizona",48181,53.7572254335,51.1904359866
"1992","25011","FRANKLIN","Massachusetts",61105,50.3162548423,18.3925811437
"1992","26145","SAGINAW","Michigan",46888,7.7838675746,70.1650072125
"1992","50023","WASHINGTON","Vermont",29622,57.9162732137,17.8817649087
"1992","06045","MENDOCINO","California",45951,61.9180239705,22.8888412732
"1992","41029","JACKSON","Oregon",57173,59.3481989708,28.4946480064
"1992","02090","FAIRBANKS NORTH STAR","Alaska",25590,60.1034385228,24.7017801431
"1992","36007","BROOME","New York",52813,65.9981415518,11.2273663667
"1992","19103","JOHNSON","Iowa",76614,53.9419349935,40.1651343161
"1992","48181","GRAYSON","Texas",33400,27.7985074627,60.3217158177
"1992","51153","PRINCE WILLIAM","Virginia",33115,57.3653123322,37.5732673846
"1992","27163","WASHINGTON","Minnesota",61995,43.7990580848,30.947467645
"1992","08077","MESA","Colorado",30114,11.2998127842,56.2276015214
"1992","08001","ADAMS","Colorado",68927,32.3176361958,46.1688130388
"1992","18141","ST. JOSEPH","Indiana",131365,14.7793004936,52.6389137838
"1992","34015","GLOUCESTER","New Jersey",58285,22.9535864979,53.6412098872
"1992","45003","AIKEN","South Carolina",32117,41.6666666667,41.1898729563
"1992","06057","NEVADA","California",36210,46.4480874317,44.5380296069
"1992","06099","STANISLAUS","California",208907,41.5798505649,38.3661218746
"1992","32005","DOUGLAS","Nevada",34825,43.4065934066,27.8310382895
"1992","05051","GARLAND","Arkansas",65636,41.2122290196,32.3239361132
"1992","48273","KLEBERG","Texas",45500,11.7647058824,40.3134483852
"1992","01003","BALDWIN","Alabama",30995,20.703125,12.9570158103
"1992","48441","TAYLOR","Texas",43420,11.1940298507,63.0970593235
"1992","15001","HAWAII","Hawaii",39068,27.127420081,47.3856521531
"1992","47149","RUTHERFORD","Tennessee",56085,64.6699266504,30.4937140587
"1992","55105","ROCK","Wisconsin",54587,21.0275638427,40.4734861929
"1992","41003","BENTON","Oregon",26235,42.6124135556,5.4886997358
"1992","30063","MISSOULA","Montana",28892,56.8310853851,19.6777062732
"1992","06001","ALAMEDA","California",777566,37.6557005417,33.3617086011
"1992","42071","LANCASTER","Pennsylvania",171097,48.9058039962,38.9043194821
"1992","26161","WASHTENAW","Michigan",211329,43.7559207285,32.0256845394
"1992","09011","NEW LONDON","Connecticut",93672,27.5888693048,38.6207265338
"1992","20005","ATCHISON","Kansas",30700,5.5555555556,34.1328413284
"1992","09007","MIDDLESEX","Connecticut",57431,31.4243148668,44.921316166
"1992","36111","ULSTER","New York",66087,41.0816288234,25.0264140311
"1992","50027","WINDSOR","Vermont",40476,47.4864655839,17.5997595251
"1992","06053","MONTEREY","California",197562,53.5840663229,30.7669619281
"1992","12001","ALACHUA","Florida",67355,40.744047619,22.8286493246
"1992","25001","BARNSTABLE","Massachusetts",96869,37.8703479454,31.5107125467
"1992","12091","OKALOOSA","Florida",33430,39.241363739,28.0468119451
"1992","36005","BRONX","New York",190289,35.6905800125,31.3690103029
"1992","08123","WELD","Colorado",31643,66.1764705882,37.4536079554
